,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
556,10,80,123.8,80.5,28.3,15.0
557,10,80,129.3,84.6,28.8,16.0
558,10,80,129.1,84.3,27.5,17.4
559,10,80,129.3,81.3,28.2,19.8
560,10,85,134.3,86.0,31.6,16.7
561,10,85,130.1,85.1,30.3,14.8
562,10,85,129.3,82.6,30.2,16.5
563,10,85,130.8,84.9,29.9,16.0
564,10,85,121.7,78.7,31.3,11.7
565,10,85,121.4,79.6,32.6,9.1
566,10,85,126.6,79.9,31.1,15.6
567,10,85,130.6,83.2,28.6,18.8
568,10,85,131.2,83.8,31.5,15.9
569,10,85,133.8,86.4,29.7,17.7
570,10,90,136.6,88.2,32.6,15.8
571,10,90,140.3,90.6,32.3,17.4
572,10,90,125.7,79.6,34.0,12.0
573,10,90,137.7,87.2,32.9,17.6
574,10,90,131.2,83.6,32.1,15.5
575,10,90,126.1,79.1,33.7,13.4
576,10,90,130.0,82.4,33.6,14.0
577,10,90,128.4,80.8,32.8,14.7
578,10,90,133.5,84.9,32.0,16.6
579,10,90,131.0,82.0,33.6,15.5
580,10,95,131.3,80.8,36.2,14.3
581,10,95,134.7,86.3,35.8,12.7
582,10,95,129.3,80.8,36.8,11.7
583,10,95,133.8,83.0,37.0,13.8
584,10,95,135.7,86.2,34.2,15.3
585,10,95,129.3,81.9,36.3,11.1
586,10,95,137.2,87.0,34.6,15.6
587,10,95,132.5,80.2,34.7,17.6
588,10,95,131.8,83.0,35.2,13.6
589,10,95,123.6,75.0,35.4,13.2
590,10,100,129.2,79.3,38.4,11.6
591,10,100,134.9,82.6,35.6,16.6
592,10,100,127.9,77.6,37.8,12.4
593,10,100,138.2,85.2,37.5,15.6
594,10,100,142.0,88.6,34.1,19.3
595,10,100,136.0,82.4,36.6,17.0
596,10,100,126.7,77.6,37.7,11.4
597,10,100,136.7,84.6,36.7,15.4
598,10,100,130.6,80.5,40.2,10.0
599,10,100,135.2,83.7,37.1,14.5
600,15,5,171.2,105.2,1.6,64.4
601,15,5,174.5,108.5,1.1,64.8
602,15,5,170.7,106.6,1.9,62.2
603,15,5,167.7,104.0,1.9,61.8
604,15,5,166.0,105.9,1.1,59.1
605,15,5,165.3,105.0,1.7,58.5
606,15,5,172.1,106.9,1.5,63.7
607,15,5,165.2,103.5,1.4,60.3
608,15,5,157.4,102.7,1.7,53.1
609,15,5,173.3,107.9,1.3,64.1
610,15,10,140.4,101.5,3.2,35.8
611,15,10,154.2,106.3,2.5,45.4
612,15,10,158.2,107.4,2.1,48.7
613,15,10,161.1,109.3,2.3,49.5
614,15,10,152.2,106.1,2.2,43.9
615,15,10,153.3,106.7,2.6,44.0
616,15,10,145.6,102.5,2.9,40.2
617,15,10,157.7,105.4,3.2,49.1
618,15,10,154.0,106.6,3.0,44.4
619,15,10,155.0,106.3,2.7,46.0
620,15,15,141.2,103.9,4.5,32.8
621,15,15,150.9,107.5,4.1,39.2
622,15,15,143.7,105.2,3.7,34.8
623,15,15,140.4,102.9,4.2,33.4
624,15,15,138.6,98.8,4.8,35.0
625,15,15,139.7,102.9,4.5,32.3
626,15,15,135.2,99.3,4.7,31.2
627,15,15,143.6,103.7,4.0,35.8
628,15,15,143.6,106.4,4.0,33.2
629,15,15,148.4,106.3,4.2,38.0
630,15,20,125.4,92.0,6.8,26.6
631,15,20,127.1,94.5,6.8,25.8
632,15,20,140.3,103.9,5.6,30.9
633,15,20,129.0,95.8,6.4,26.8
634,15,20,123.6,92.2,7.0,24.4
635,15,20,125.0,93.0,6.9,25.1
636,15,20,129.4,96.9,6.6,25.9
637,15,20,133.9,96.3,6.1,31.5
638,15,20,122.8,91.8,7.3,23.7
639,15,20,133.9,99.9,5.8,28.2
640,15,25,132.3,96.2,7.1,29.0
641,15,25,136.8,99.6,7.4,29.8
642,15,25,127.2,94.8,8.0,24.4
643,15,25,127.0,91.9,7.9,27.1
644,15,25,121.2,87.4,8.2,25.6
645,15,25,120.1,91.2,9.4,19.5
646,15,25,129.2,94.2,8.2,26.9
647,15,25,121.7,90.6,8.4,22.7
648,15,25,129.8,94.6,7.6,27.6
649,15,25,128.6,93.7,7.4,27.5
650,15,30,120.2,89.5,9.5,21.3
651,15,30,125.7,91.2,9.7,24.8
652,15,30,121.1,87.5,10.2,23.4
653,15,30,136.5,96.3,9.0,31.1
654,15,30,127.2,92.7,9.7,24.8
655,15,30,118.3,86.2,9.9,22.2
656,15,30,122.8,89.0,10.4,23.4
657,15,30,130.5,94.3,9.6,26.6
658,15,30,125.0,91.0,10.3,23.6
659,15,30,121.1,88.7,9.8,22.6
660,15,35,118.4,84.2,12.5,21.6
661,15,35,120.9,90.2,12.2,18.5
662,15,35,124.5,88.6,10.9,25.0
663,15,35,126.2,91.6,10.5,24.0
664,15,35,126.9,90.5,11.9,24.5
665,15,35,130.5,92.3,10.4,27.8
666,15,35,123.6,89.7,11.3,22.6
667,15,35,125.1,88.0,11.0,26.0
668,15,35,120.9,87.9,11.7,21.2
669,15,35,118.5,87.2,12.8,18.5
670,15,40,117.6,89.7,13.5,14.4
671,15,40,118.6,87.8,15.6,15.3
672,15,40,123.9,91.6,14.6,17.8
673,15,40,125.5,90.6,13.3,21.5
674,15,40,117.3,85.8,14.3,17.1
675,15,40,122.8,89.0,13.6,20.2
676,15,40,128.2,93.3,13.0,21.9
677,15,40,122.9,86.9,14.7,21.3
678,15,40,123.0,91.0,12.7,19.3
679,15,40,117.7,84.8,14.7,18.3
680,15,45,120.7,87.6,16.2,16.8
681,15,45,116.7,85.8,16.1,14.8
682,15,45,120.8,89.6,16.3,14.9
683,15,45,124.2,87.6,15.6,21.1
684,15,45,123.5,88.0,17.0,18.6
685,15,45,118.5,84.5,16.1,17.9
686,15,45,113.7,82.3,17.3,14.1
687,15,45,119.3,85.6,16.6,17.1
688,15,45,116.4,83.5,17.1,15.7
689,15,45,127.3,89.8,15.4,22.2
690,15,50,116.2,84.1,19.4,12.7
691,15,50,122.3,87.0,18.4,16.8
692,15,50,119.1,83.9,18.1,17.1
693,15,50,122.2,86.5,18.4,17.2
694,15,50,118.4,85.4,19.4,13.6
695,15,50,114.2,80.6,18.4,15.2
696,15,50,122.9,87.2,19.5,16.3
697,15,50,116.1,83.6,18.9,13.6
698,15,50,124.8,87.0,18.3,19.5
699,15,50,123.2,88.3,17.5,17.5
700,15,55,121.7,85.6,20.8,15.3
701,15,55,124.5,85.2,19.9,19.5
702,15,55,127.1,89.6,18.3,19.2
703,15,55,122.0,86.6,20.7,14.7
704,15,55,120.2,82.3,21.9,16.1
705,15,55,123.3,86.6,19.3,17.3
706,15,55,115.0,81.2,20.5,13.4
707,15,55,123.2,85.4,20.7,17.1
708,15,55,126.3,88.2,19.1,19.0
709,15,55,115.0,80.1,21.2,13.7
710,15,60,128.4,87.4,21.8,19.1
711,15,60,122.6,84.4,22.3,15.9
712,15,60,123.8,87.1,23.2,13.5
713,15,60,117.1,83.7,22.0,11.5
714,15,60,117.7,80.6,24.3,12.8
715,15,60,123.8,84.2,22.9,16.7
716,15,60,118.3,82.5,23.0,12.8
717,15,60,129.3,88.0,22.1,19.2
718,15,60,118.5,82.0,23.1,13.4
719,15,60,120.1,83.0,22.9,14.2
720,15,65,121.9,83.7,25.7,12.5
721,15,65,124.5,86.2,23.9,14.4
722,15,65,124.7,86.1,23.5,15.1
723,15,65,119.3,82.5,25.4,11.4
724,15,65,117.6,81.9,26.2,9.5
725,15,65,118.4,81.0,25.5,12.0
726,15,65,125.8,87.8,25.7,12.3
727,15,65,122.1,84.2,25.5,12.4
728,15,65,124.2,83.9,26.5,13.8
729,15,65,118.2,82.0,26.2,10.0
730,15,70,124.7,85.6,26.7,12.5
731,15,70,126.0,84.9,26.8,14.3
732,15,70,131.8,89.3,26.2,16.3
733,15,70,120.6,82.7,26.4,11.5
734,15,70,116.8,78.7,29.7,8.4
735,15,70,122.6,85.0,28.2,9.5
736,15,70,124.2,82.7,27.3,14.1
737,15,70,122.6,81.3,29.5,11.7
738,15,70,133.1,91.0,28.3,13.9
739,15,70,120.2,80.5,27.7,12.1
740,15,75,128.4,85.9,28.9,13.6
741,15,75,131.1,87.1,27.9,16.1
742,15,75,130.5,86.7,27.6,16.2
743,15,75,124.0,85.7,29.2,9.2
744,15,75,122.8,83.8,28.8,10.3
745,15,75,124.8,81.5,30.2,13.2
746,15,75,130.2,85.5,27.5,17.2
747,15,75,127.2,83.6,30.8,12.8
748,15,75,122.6,81.6,28.2,12.8
749,15,75,119.5,78.0,29.3,12.2
750,15,80,132.4,87.8,31.9,12.7
751,15,80,136.9,88.4,30.5,18.0
752,15,80,124.7,81.0,32.3,11.4
753,15,80,123.8,81.3,33.4,9.1
754,15,80,121.0,79.6,33.3,8.1
755,15,80,128.4,83.9,32.3,12.2
756,15,80,125.9,80.7,31.3,13.9
757,15,80,123.5,81.2,33.0,9.2
758,15,80,117.1,75.3,34.6,7.1
759,15,80,126.3,82.6,32.4,11.2
760,15,85,130.3,87.9,32.5,9.9
761,15,85,124.9,80.2,36.1,8.7
762,15,85,127.7,83.0,34.4,10.3
